_timestamp,Sample Generation,train/loss,train/step_loss,lr,_runtime,_step,val/loss,iter
1779601716.890916,,,1.100257158279419,,430.983788,213,,2040.0
1779601718.626711,,,1.148321270942688,,432.7193842,214,,2050.0
1779601720.281648,,,1.1261225938796997,,434.3739759,215,,2060.0
1779601721.8620112,,,1.1370494365692139,,435.9545987,216,,2070.0
1779601723.6419544,,,1.1435840129852295,,437.7337772,217,,2080.0
1779601725.3463006,,,1.110396146774292,,439.4390554,218,,2090.0
1779601727.050442,,,1.1404907703399658,,441.1422649,219,,2100.0
1779601728.747442,,,1.1356236934661865,,442.8397683,220,,2110.0
1779601730.4463851,,,1.1364858150482178,,444.538208,221,,2120.0
1779601732.1451445,,,1.1419036388397217,,446.2374734,222,,2130.0
1779601733.8473384,,,1.093593955039978,,447.9399447,223,,2140.0
1779601735.5414333,,,1.1145819425582886,,449.6337614,224,,2150.0
1779601737.235178,,,1.1230595111846924,,451.3326592,225,,2160.0
1779601738.7462835,,,1.129042625427246,,452.8388725,226,,2170.0
1779601740.4258144,,,1.0965332984924316,,454.5181417,227,,2180.0
1779601742.0243108,,,1.1080541610717773,,456.1168697,228,,2190.0
1779601743.7454228,,,1.0911760330200195,,457.8378263,229,,2200.0
1779601745.4666457,,,1.0993410348892212,,459.5592505,230,,2210.0
1779601747.1820667,,,1.1386501789093018,,461.2738895,231,,2220.0
1779601748.807718,,,1.1310029029846191,,462.9000817,232,,2230.0
1779601750.364486,,,1.1028666496276855,,464.4568193,233,,2240.0
1779601771.9637074,,1.0113039016723633,,0.0006360213829156177,486.0563778,234,1.4839928150177002,2250.0
1779601772.1305256,,,1.0945229530334473,,486.2228538,235,,2250.0
1779601773.8373375,,,1.1117616891860962,,487.9296681,236,,2260.0
1779601775.442486,,,1.0942853689193726,,489.5349006,237,,2270.0
1779601777.0602973,,,1.1134856939315796,,491.1526232,238,,2280.0
1779601778.6638012,,,1.0906524658203125,,492.7563644,239,,2290.0
1779601780.2810693,,,1.0991300344467163,,494.3733971,240,,2300.0
1779601782.054431,,,1.0947020053863525,,496.1467603,241,,2310.0
1779601783.7237115,,,1.124237060546875,,497.8160411,242,,2320.0
1779601785.3538985,,,1.0999083518981934,,499.4462489,243,,2330.0
1779601787.0460165,,,1.080472707748413,,501.1382717,244,,2340.0
1779601788.6510944,,,1.091127872467041,,502.7434263,245,,2350.0
1779601790.2522607,,,1.085214376449585,,504.3475011,246,,2360.0
1779601791.9670908,,,1.0789175033569336,,506.0589138,247,,2370.0
1779601793.6642318,,,1.0744831562042236,,507.7571059,248,,2380.0
1779601795.3230028,,,1.0995765924453735,,509.4154909,249,,2390.0
1779601797.0600705,,,1.0471161603927612,,511.1523994,250,,2400.0
1779601798.7918215,,,1.0939035415649414,,512.8863734,251,,2410.0
1779601800.5226402,,,1.0716044902801514,,514.6149684,252,,2420.0
1779601802.2511613,,,1.0926040410995483,,516.3436779,253,,2430.0
1779601803.983282,,,1.062941551208496,,518.0762274,254,,2440.0
1779601805.6694396,,,1.0729999542236328,,519.7617694,255,,2450.0
1779601807.2478213,,,1.052045464515686,,521.3404142,256,,2460.0
1779601808.9548469,,,1.102881669998169,,523.0474694,257,,2470.0
1779601810.6313238,,,1.0699111223220825,,524.7237537,258,,2480.0
1779601812.3078568,,,1.0529104471206665,,526.4006022,259,,2490.0
1779601834.3744214,,0.9639379978179932,,0.000564423209907245,548.4666342,260,1.5091042518615723,2500.0
1779601834.5299149,,,1.070446491241455,,548.6217377,261,,2500.0
1779601836.200705,,,1.0398625135421753,,550.293151,262,,2510.0
1779601837.8012342,,,1.082313060760498,,551.8935762,263,,2520.0
