val/loss,_timestamp,train/step_loss,Sample Generation,lr,_step,train/loss,iter,_runtime
,1779608217.3220966,1.0997865200042725,,,229,,2200.0,699.4551323
,1779608219.4699886,1.0994479656219482,,,230,,2210.0,701.6045317
,1779608221.619236,1.1387279033660889,,,231,,2220.0,703.7520351
,1779608223.7668226,1.1369764804840088,,,232,,2230.0,705.8995263
,1779608225.9171815,1.1060054302215576,,,233,,2240.0,708.0511269
1.47696852684021,1779608252.8941631,,,0.0006360213829156177,234,1.0112074613571167,2250.0,735.0305815
,1779608253.1047835,1.0986039638519287,,,235,,2250.0,735.2375772
,1779608255.3062873,1.118023157119751,,,236,,2260.0,737.4394485
,1779608257.5080273,1.0936832427978516,,,237,,2270.0,739.6403178
,1779608259.7030451,1.120812177658081,,,238,,2280.0,741.8362805
,1779608261.8998697,1.0958938598632812,,,239,,2290.0,744.0327344
,1779608264.0921772,1.104111909866333,,,240,,2300.0,746.2251482
,1779608266.2821603,1.100224256515503,,,241,,2310.0,748.4149558
,1779608268.476456,1.1248624324798584,,,242,,2320.0,750.6092549
,1779608270.673663,1.0998592376708984,,,243,,2330.0,752.8064589
,1779608272.8673527,1.0774277448654175,,,244,,2340.0,755.0001324
,1779608275.0614629,1.0868653059005737,,,245,,2350.0,757.1937534
,1779608277.1140802,1.0935134887695312,,,246,,2360.0,759.2463707
,1779608279.2584755,1.0820896625518799,,,247,,2370.0,761.3914191
,1779608281.3957808,1.0828338861465454,,,248,,2380.0,763.5296496
,1779608283.541994,1.1031913757324219,,,249,,2390.0,765.6748611
,1779608285.6823783,1.0562187433242798,,,250,,2400.0,767.8146687
,1779608287.8278582,1.0990941524505615,,,251,,2410.0,769.9606917
,1779608289.9751883,1.0792043209075928,,,252,,2420.0,772.108755
,1779608292.1223893,1.0981346368789673,,,253,,2430.0,774.2546797
,1779608294.2596745,1.0675406455993652,,,254,,2440.0,776.3937573
,1779608296.402183,1.0760565996170044,,,255,,2450.0,778.535478
,1779608298.55,1.0572657585144043,,,256,,2460.0,780.6822903
,1779608300.6911278,1.1058419942855835,,,257,,2470.0,782.8239246
,1779608302.8311841,1.062790870666504,,,258,,2480.0,784.964386
,1779608304.9747093,1.0609002113342285,,,259,,2490.0,787.1077911
1.4951698780059814,1779608331.6455739,,,0.000564423209907245,260,0.9686009287834167,2500.0,813.7788549
,1779608331.8572392,1.0733792781829834,,,261,,2500.0,813.990042
,1779608333.8979845,1.0447187423706055,,,262,,2510.0,816.0302749
,1779608335.944916,1.0823285579681396,,,263,,2520.0,818.0772064
,1779608338.1051357,1.0578175783157349,,,264,,2530.0,820.2380609
,1779608340.1533957,1.0791189670562744,,,265,,2540.0,822.2862205
,1779608342.279916,1.0694396495819092,,,266,,2550.0,824.4130062
,1779608344.451725,1.055044412612915,,,267,,2560.0,826.5846575
,1779608346.5477126,1.0622947216033936,,,268,,2570.0,828.6807576
,1779608348.7986608,1.0479828119277954,,,269,,2580.0,830.9314562
,1779608350.8550851,1.0364775657653809,,,270,,2590.0,832.9873755
,1779608353.053741,1.025861144065857,,,271,,2600.0,835.1866767
,1779608355.1521084,1.0843193531036377,,,272,,2610.0,837.2850329
,1779608357.2503192,1.0751278400421143,,,273,,2620.0,839.3830245
,1779608359.3528893,1.0812420845031738,,,274,,2630.0,841.4878177
,1779608361.457135,1.0538851022720337,,,275,,2640.0,843.5894254
,1779608363.5594795,1.0510647296905518,,,276,,2650.0,845.6917701
,1779608365.663025,1.0598427057266235,,,277,,2660.0,847.7958218
,1779608367.9136677,1.0727741718292236,,,278,,2670.0,850.045958
,1779608370.115388,1.0505677461624146,,,279,,2680.0,852.2482539
,1779608372.2797096,1.0424429178237915,,,280,,2690.0,854.4168052
,1779608374.5142486,1.0456712245941162,,,281,,2700.0,856.6473555
,1779608376.744103,1.0373152494430542,,,282,,2710.0,858.876899
,1779608378.9708712,1.0480890274047852,,,283,,2720.0,861.103667
,1779608381.192397,1.0323971509933472,,,284,,2730.0,863.3251939
,1779608383.4194844,1.0389294624328613,,,285,,2740.0,865.5522799
1.496535301208496,1779608409.9251742,,,0.0004924552772419723,286,0.9181063175201416,2750.0,892.0589783
,1779608410.1383,1.030178427696228,,,287,,2750.0,892.2710417
,1779608412.1928484,1.0245776176452637,,,288,,2760.0,894.325453
,1779608414.24784,1.0400547981262207,,,289,,2770.0,896.3810258
,1779608416.3069375,1.0260978937149048,,,290,,2780.0,898.4397321
,1779608418.4758716,1.0132474899291992,,,291,,2790.0,900.6086695
,1779608420.529771,1.0435817241668701,,,292,,2800.0,902.6627158
,1779608422.581685,1.0244991779327393,,,293,,2810.0,904.7182635
,1779608424.7900255,1.0190255641937256,,,294,,2820.0,906.9228232
,1779608426.9323306,1.023926019668579,,,295,,2830.0,909.0652681
,1779608429.0702202,1.0133724212646484,,,296,,2840.0,911.2033623
,1779608431.2109683,1.0054121017456055,,,297,,2850.0,913.3485916
,1779608433.3504279,1.0065476894378662,,,298,,2860.0,915.4837827
,1779608435.4897568,1.0264781713485718,,,299,,2870.0,917.6230067
,1779608437.6244698,1.0282373428344727,,,300,,2880.0,919.7567603
,1779608439.7579918,1.0308550596237183,,,301,,2890.0,921.8907929
,1779608441.8949597,1.0126134157180786,,,302,,2900.0,924.0272502
,1779608444.0295272,1.0118322372436523,,,303,,2910.0,926.1673568
,1779608446.1779003,1.0229960680007935,,,304,,2920.0,928.3110048
,1779608448.3156636,1.0060479640960693,,,305,,2930.0,930.4485588
,1779608450.453106,1.0266227722167969,,,306,,2940.0,932.5874179
,1779608452.5906055,0.995556116104126,,,307,,2950.0,934.722896
,1779608454.7294145,1.0085917711257935,,,308,,2960.0,936.862275
,1779608456.8663244,0.9850606322288513,,,309,,2970.0,939.0023922
,1779608459.0149558,1.0106115341186523,,,310,,2980.0,941.1477545
,1779608461.1543822,1.0317193269729614,,,311,,2990.0,943.2876552
1.5341296195983887,1779608487.6346164,,,0.0004219625860160354,312,0.8749626874923706,3000.0,969.767446
,1779608487.8515165,1.0046448707580566,,,313,,3000.0,969.9846283
,1779608489.9470086,0.9965783357620239,,,314,,3010.0,972.0798035
,1779608492.0454152,1.0121192932128906,,,315,,3020.0,974.1783618
,1779608494.137981,0.992487907409668,,,316,,3030.0,976.2702715
,1779608496.2340715,0.9940530061721802,,,317,,3040.0,978.366898
,1779608498.3341055,1.0131268501281738,,,318,,3050.0,980.4663961
,1779608500.4344144,1.0015861988067627,,,319,,3060.0,982.5672427
,1779608502.5353332,0.992530345916748,,,320,,3070.0,984.6676235
,1779608504.6767073,0.9677844047546387,,,321,,3080.0,986.8095174
,1779608506.7974637,0.9898322224617004,,,322,,3090.0,988.9300718
,1779608509.0422754,1.0171432495117188,,,323,,3100.0,991.1745659
