val/loss,_timestamp,train/step_loss,_runtime,lr,iter,_step,train/loss,Sample Generation
,1779552428.5350933,1.0826733112335205,514.8817125,,2190.0,228,,
,1779552430.1042578,1.1127763986587524,516.4514684,,2200.0,229,,
,1779552431.679345,1.0962530374526978,518.021451,,2210.0,230,,
,1779552433.2442374,1.1038038730621338,519.5906144,,2220.0,231,,
,1779552434.8194094,1.0984277725219727,521.1608999,,2230.0,232,,
,1779552436.389753,1.1108955144882202,522.7319414,,2240.0,233,,
1.4924862384796143,1779552456.9485095,,543.2909977,0.0006360213829156177,2250.0,234,0.9986343383789062,
,1779552457.1112862,1.0696585178375244,543.4527769,,2250.0,235,,
,1779552458.681181,1.091849446296692,545.0226715,,2260.0,236,,
,1779552460.250587,1.111586093902588,546.5920775,,2270.0,237,,
,1779552461.8207345,1.0771136283874512,548.1627316,,2280.0,238,,
,1779552463.3914807,1.1278725862503052,549.7335307,,2290.0,239,,
,1779552464.9623473,1.111223816871643,551.3043419,,2300.0,240,,
,1779552466.5327077,1.0727282762527466,552.8741981,,2310.0,241,,
,1779552468.1026752,1.0697989463806152,554.4441658,,2320.0,242,,
,1779552469.6727242,1.083099126815796,556.0151282,,2330.0,243,,
,1779552471.2428493,1.1100072860717773,557.5849296,,2340.0,244,,
,1779552472.8136094,1.088958501815796,559.1556096,,2350.0,245,,
,1779552474.3835392,1.0973607301712036,560.7255501,,2360.0,246,,
,1779552475.953067,1.0720809698104858,562.2955574,,2370.0,247,,
,1779552477.524315,1.0741524696350098,563.8663098,,2380.0,248,,
,1779552479.0935326,1.0619332790374756,565.4365272,,2390.0,249,,
,1779552480.6647615,1.0583168268203735,567.006758,,2400.0,250,,
,1779552482.2348804,1.0644731521606445,568.5773743,,2410.0,251,,
,1779552483.8063,1.058911681175232,570.1480926,,2420.0,252,,
,1779552485.3760161,1.0440950393676758,571.7175068,,2430.0,253,,
,1779552486.9394736,1.041398048400879,573.2870494,,2440.0,254,,
,1779552488.515095,1.0581324100494385,574.8571983,,2450.0,255,,
,1779552490.0849001,1.0736786127090454,576.427615,,2460.0,256,,
,1779552491.6560457,1.0665385723114014,577.9983245,,2470.0,257,,
,1779552493.2248478,1.0698871612548828,579.5689289,,2480.0,258,,
,1779552494.7964256,1.037989854812622,581.1389131,,2490.0,259,,
1.5078397989273071,1779552515.363067,,601.7045575,0.000564423209907245,2500.0,260,0.9487708806991577,
,1779552515.5276628,1.0574344396591187,601.8696591,,2500.0,261,,
,1779552517.0978396,1.0507557392120361,603.4393302,,2510.0,262,,
,1779552518.6695073,1.033684492111206,605.010998,,2520.0,263,,
,1779552520.2406127,1.0369956493377686,606.5821034,,2530.0,264,,
,1779552521.8126154,1.0286600589752197,608.1541059,,2540.0,265,,
,1779552523.3830614,1.0567560195922852,609.7250726,,2550.0,266,,
,1779552524.9532087,1.0383071899414062,611.2952015,,2560.0,267,,
,1779552526.5238814,1.0566599369049072,612.8658765,,2570.0,268,,
,1779552528.0936987,1.061445951461792,614.4356993,,2580.0,269,,
,1779552529.6639626,1.0504212379455566,616.0059582,,2590.0,270,,
,1779552531.2339199,1.05054771900177,617.5754103,,2600.0,271,,
